********************************************************************************
product = WebSphere Application Server 26.0.0.3, z/OS Connect 03.00.105 (wlp-1.0.111.cl260320260314-0319)
wlp.install.dir = /opt/ibm/wlp/
server.output.dir = /opt/ibm/wlp/output/defaultServer/
java.home = /opt/java/openjdk
java.version = 25.0.3
java.runtime = IBM Semeru Runtime Certified Edition (25.0.3+9-LTS)
os = Linux (7.0.12-linuxkit; amd64) (en_US)
process = 1@02db3501d6ac
Classpath = /opt/ibm/wlp/bin/tools/ws-server.jar
Java Library path = /opt/java/openjdk/lib/default:/opt/java/openjdk/lib:/usr/lib64:/usr/lib
********************************************************************************
[9/7/26, 14:45:19:954 GMT] 00000002 com.ibm.ws.kernel.launch.internal.FrameworkManager           A CWWKE0001I: The server defaultServer has been launched.
[9/7/26, 14:45:20:913 GMT] 0000002a com.ibm.ws.config.xml.internal.ServerXMLConfiguration        A CWWKG0093A: Processing configuration drop-ins resource: /opt/ibm/wlp/usr/servers/defaultServer/configDropins/defaults/keystore.xml
[9/7/26, 14:45:20:927 GMT] 0000002a com.ibm.ws.config.xml.internal.ServerXMLConfiguration        A CWWKG0093A: Processing configuration drop-ins resource: /opt/ibm/wlp/usr/servers/defaultServer/configDropins/overrides/cics.xml
[9/7/26, 14:45:20:929 GMT] 0000002a com.ibm.ws.config.xml.internal.ServerXMLConfiguration        A CWWKG0093A: Processing configuration drop-ins resource: /opt/ibm/wlp/usr/servers/defaultServer/configDropins/overrides/http-ssl-endpoint.xml
[9/7/26, 14:45:20:930 GMT] 0000002a com.ibm.ws.config.xml.internal.ServerXMLConfiguration        A CWWKG0093A: Processing configuration drop-ins resource: /opt/ibm/wlp/usr/servers/defaultServer/configDropins/overrides/server.xml
[9/7/26, 14:45:20:931 GMT] 0000002a com.ibm.ws.config.xml.internal.ServerXMLConfiguration        A CWWKG0093A: Processing configuration drop-ins resource: /opt/ibm/wlp/usr/servers/defaultServer/configDropins/overrides/tls.xml
[9/7/26, 14:45:21:095 GMT] 00000002 com.ibm.ws.kernel.launch.internal.FrameworkManager           I CWWKE0002I: The kernel started after 1.467 seconds
[9/7/26, 14:45:21:342 GMT] 00000035 com.ibm.ws.kernel.feature.internal.FeatureManager            I CWWKF0007I: Feature update started.
[9/7/26, 14:45:23:069 GMT] 00000029 com.ibm.ws.security.ready.internal.SecurityReadyServiceImpl  I CWWKS0007I: The security service is starting...
[9/7/26, 14:45:23:247 GMT] 0000002a com.ibm.ws.cache.ServerCache                                 I DYNA1001I: WebSphere Dynamic Cache instance named baseCache initialized successfully.
[9/7/26, 14:45:23:249 GMT] 0000002a com.ibm.ws.cache.ServerCache                                 I DYNA1071I: The cache provider default is being used.
[9/7/26, 14:45:23:250 GMT] 0000002a com.ibm.ws.cache.CacheServiceImpl                            I DYNA1056I: Dynamic Cache (object cache) initialized successfully.
[9/7/26, 14:45:23:245 GMT] 0000002c com.ibm.ws.app.manager.internal.monitor.DropinMonitor        A CWWKZ0058I: Monitoring dropins for applications.
[9/7/26, 14:45:23:620 GMT] 0000002b org.jboss.weld.Version                                       I WELD-000900: 3.1.9 (Final)
[9/7/26, 14:45:23:781 GMT] 00000031 com.ibm.ws.ssl.config.WSKeyStore                             I Successfully loaded default keystore: /opt/ibm/wlp/output/defaultServer/resources/security/key.p12 of type: PKCS12
[9/7/26, 14:45:23:859 GMT] 00000029 com.ibm.ws.logging.internal.impl.IncidentImpl                I FFDC1015I: An FFDC Incident has been created: "java.lang.IllegalArgumentException: CWWKS4118E: LTPA configuration error. Add a keysPassword attribute to your <ltpa /> configuration, or set the 'ltpa_keys_password' or 'keystore_password' environment variables. com.ibm.ws.security.token.ltpa.internal.LTPAConfigurationImpl 151" at ffdc_26.09.07_14.45.23.0.log
[9/7/26, 14:45:23:861 GMT] 00000029 om.ibm.ws.security.token.ltpa.internal.LTPAConfigurationImpl E CWWKS4118E: LTPA configuration error. Add a keysPassword attribute to your <ltpa /> configuration, or set the 'ltpa_keys_password' or 'keystore_password' environment variables.
[9/7/26, 14:45:23:881 GMT] 00000029 ibm.ws.security.authentication.internal.jaas.JAASServiceImpl I CWWKS1123I: The collective authentication plugin with class name NullCollectiveAuthenticationPlugin has been activated. 
[9/7/26, 14:45:24:094 GMT] 00000029 com.ibm.ws.session.WASSessionCore                            I SESN8501I: The session manager did not find a persistent storage location; HttpSession objects will be stored in the local application server's memory.
[9/7/26, 14:45:24:130 GMT] 00000029 com.ibm.ws.security.jwt.internal.ConsumerImpl                I CWWKS6012I: The JSON Web Token (JWT) consumer service is available.
[9/7/26, 14:45:24:137 GMT] 00000029 com.ibm.ws.security.jwt.web.JwtEndpointServices              I CWWKS6002I: The JSON Web Token (JWT) endpoint service is available.
[9/7/26, 14:45:24:505 GMT] 00000029 org.apache.aries.spifly.BaseActivator                        I Registered provider org.slf4j.jul.JULServiceProvider of service org.slf4j.spi.SLF4JServiceProvider in bundle slf4j.jdk14
[9/7/26, 14:45:24:586 GMT] 00000029 com.ibm.ws.security.audit.source.AuditServiceImpl            I CWWKS5850I: The audit service is starting.
[9/7/26, 14:45:24:591 GMT] 00000029 com.ibm.ws.security.audit.file.AuditFileHandler              I CWWKS5804I: The audit file handler service is starting.
[9/7/26, 14:45:24:595 GMT] 00000029 com.ibm.ws.security.audit.source.AuditServiceImpl            I CWWKS5851I: The audit service is ready.
[9/7/26, 14:45:24:599 GMT] 00000029 com.ibm.ws.security.audit.file.AuditFileHandler              I CWWKS5805I: The audit file handler service is ready.
[9/7/26, 14:45:24:653 GMT] 00000029 .microprofile.metrics.internal.monitor.MonitorMetricsHandler I CWPMI2003I: Monitoring metrics can be retrieved through mpMetrics.
[9/7/26, 14:45:24:929 GMT] 00000037 com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Loading Web Module: ibm/api.
[9/7/26, 14:45:24:929 GMT] 00000036 com.ibm.ws.webcontainer.osgi.webapp.WebGroup                 I SRVE0169I: Loading Web Module: health.
